mes,DAIRY,MEATS,SEAFOOD
2015-01,1134521.0,543117.728891001,40465.835011999996
2015-02,1020747.0,498735.0768389998,36066.56100270002
2015-03,1234851.0,546517.1592209999,43808.47307430003
2015-04,1181180.0,522304.2807439998,39983.47100249995
2015-05,1293308.0,591691.8997339994,42506.832015
2015-06,1243588.0,565014.1300349995,38780.55200409999
2015-07,1244815.0,594903.6773679998,38535.58800590001
2015-08,1263428.0,581214.1430260008,37767.58099750003
2015-09,1224619.0,562711.6331570001,41906.37401019997
2015-10,1314827.0,580788.3612420001,41423.96296339995
2015-11,1283672.0,535908.9279539998,38823.761011200055
2015-12,1394582.0,567381.3910779996,33728.276972700005
